meet_name,meet_url,year,month,state,level,season
Seaport Invitational,https://www.milesplit.com/meets/214286-seaport-invitational-2015/results,2015,9,WA,HS,XC
South Whidbey Invitational,https://wa.milesplit.com/meets/214287-south-whidbey-invitational-2015/results,2015,9,WA,HS,XC
Sundodger Invitational,https://wa.milesplit.com/meets/214288-sundodger-invitational-2015/results,2015,9,WA,HS,XC
Lakeside / Blanchet / Garfield / Rainier Beach / Bellarmine,https://wa.milesplit.com/meets/218894-lakeside-blanchet-garfield-rainier-beach-bellarmine-2015/results,2015,9,WA,HS,XC
1A/2A Evergreen Eatonville,https://wa.milesplit.com/meets/218889-1a2a-evergreen-eatonville-2015/results,2015,9,WA,HS,XC
Big 9 4A League Meet #1,https://wa.milesplit.com/meets/218890-big-9-4a-league-meet-1-2015/results,2015,9,WA,HS,XC
Evergreen League Forks,https://wa.milesplit.com/meets/218921-evergreen-league-forks-2015/results,2015,9,WA,HS,XC
Harriers at the Beach,https://wa.milesplit.com/meets/218891-harriers-at-the-beach-2015/results,2015,9,WA,HS,XC
Marysville Getchell Quad,https://wa.milesplit.com/meets/218892-marysville-getchell-quad-2015/results,2015,9,WA,HS,XC
O'Dea Meet,https://wa.milesplit.com/meets/218893-odea-meet-2015/results,2015,9,WA,HS,XC
Orting Triangular,https://wa.milesplit.com/meets/218919-orting-triangular-2015/results,2015,9,WA,HS,XC
SKSD Jr High Jamboree,https://wa.milesplit.com/meets/218913-sksd-jr-high-jamboree-2015/results,2015,9,WA,HS,XC
"Wesco: Terrace,EW,Stanwood",https://tx.milesplit.com/meets/218915-wesco-terraceewstanwood-2015/results,2015,9,WA,HS,XC
Archbishop Murphy,https://wa.milesplit.com/meets/216978-archbishop-murphy-2015/results,2015,9,WA,HS,XC
Curtis vs. Bethel,https://wa.milesplit.com/meets/216965-curtis-vs-bethel-2015/results,2015,9,WA,HS,XC
Federal Way vs. Decatur,https://wa.milesplit.com/meets/216966-federal-way-vs-decatur-2015/results,2015,9,WA,HS,XC
Gig Harbor Meet,https://wa.milesplit.com/meets/216969-gig-harbor-meet-2015/results,2015,9,WA,HS,XC
GNL 1 Cheney vs East Valley-Spokane,https://wa.milesplit.com/meets/218875-gnl-1-cheney-vs-east-valley-spokane-2015/results,2015,9,WA,HS,XC
GNL 3 WV (Spokane) at Pullman,https://wa.milesplit.com/meets/218876-gnl-3-wv-spokane-at-pullman-2015/results,2015,9,WA,HS,XC
GNL Meet North Central/Mt Spokane,https://wa.milesplit.com/meets/218881-gnl-meet-north-centralmt-spokane-2015/results,2015,9,WA,HS,XC
"GSL #1 GP, Mead, NC",https://wa.milesplit.com/meets/218878-gsl-1-gp-mead-nc-2015/results,2015,9,WA,HS,XC
"GSL #1 Shadle Park, University",https://wa.milesplit.com/meets/218880-gsl-1-shadle-park-university-2015/results,2015,9,WA,HS,XC
Hood River Skip Sparks Invitational,https://or.milesplit.com/meets/216506-hood-river-skip-sparks-invitational-2015/results,2015,9,WA,HS,XC
Juanita Triangular,https://wa.milesplit.com/meets/216962-juanita-triangular-2015/results,2015,9,WA,HS,XC
Meridian Quad,https://wa.milesplit.com/meets/216964-meridian-quad-2015/results,2015,9,WA,HS,XC
Meridian vs. Kentlake,https://wa.milesplit.com/meets/216977-meridian-vs-kentlake-2015/results,2015,9,WA,HS,XC
Mount Rainier vs. Todd Beamer,https://www.milesplit.com/meets/216981-mount-rainier-vs-todd-beamer-2015/results,2015,9,WA,HS,XC
Nooksack Valley Meet,https://wa.milesplit.com/meets/216982-nooksack-valley-meet-2015/results,2015,9,WA,HS,XC
North Kitsap Triangular,https://wa.milesplit.com/meets/218882-north-kitsap-triangular-2015/results,2015,9,WA,HS,XC
Pre-Salmon Race,https://wa.milesplit.com/meets/218884-pre-salmon-race-2015/results,2015,9,WA,HS,XC
Ridgefield vs Mark Morris,https://wa.milesplit.com/meets/218885-ridgefield-vs-mark-morris-2015/results,2015,9,WA,HS,XC
Rogers vs. Ferris,https://wa.milesplit.com/meets/218879-rogers-vs-ferris-2015/results,2015,9,WA,HS,XC
Sammamish at LW,https://wa.milesplit.com/meets/218912-sammamish-at-lw-2015/results,2015,9,WA,HS,XC
Sequim Meet,https://wa.milesplit.com/meets/216983-sequim-meet-2015/results,2015,9,WA,HS,XC
Shelton Meet,https://wa.milesplit.com/meets/218883-shelton-meet-2015/results,2015,9,WA,HS,XC
Shorecrest Quad,https://wa.milesplit.com/meets/218886-shorecrest-quad-2015/results,2015,9,WA,HS,XC
SP/Hale/Franklin/Ing/Bainbridge,https://wa.milesplit.com/meets/218910-sphalefrankliningbainbridge-2015/results,2015,9,WA,HS,XC
Squalicum Triangular,https://wa.milesplit.com/meets/216979-squalicum-triangular-2015/results,2015,9,WA,HS,XC
Tahoma vs. Kentwood,https://wa.milesplit.com/meets/218887-tahoma-vs-kentwood-2015/results,2015,9,WA,HS,XC
Trico League,https://wa.milesplit.com/meets/218888-trico-league-2015/results,2015,9,WA,HS,XC
Bridgeport Invitational,https://wa.milesplit.com/meets/216956-bridgeport-invitational-2015/results,2015,9,WA,HS,XC
District 7 1B/2B League Opener,https://wa.milesplit.com/meets/216958-district-7-1b2b-league-opener-2015/results,2015,9,WA,HS,XC
District 7 1B/2B League Opener,https://wa.milesplit.com/meets/218962-district-7-1b2b-league-opener-2015/results,2015,9,WA,HS,XC
ECL Meet,https://wa.milesplit.com/meets/216960-ecl-meet-2015/results,2015,9,WA,HS,XC
Heritage Quad,https://wa.milesplit.com/meets/218755-heritage-quad-2015/results,2015,9,WA,HS,XC
Nisqually League: Vashon Host,https://wa.milesplit.com/meets/216961-nisqually-league-vashon-host-2015/results,2015,9,WA,HS,XC
Skyview Triangular,https://wa.milesplit.com/meets/216955-skyview-triangular-2015/results,2015,9,WA,HS,XC
Asotin Island Run Invitational,https://wa.milesplit.com/meets/214274-asotin-xc-island-run-invitational-2015/results,2015,9,WA,HS,XC
Capital Invitational,https://wa.milesplit.com/meets/214275-capital-invitational-2015/results,2015,9,WA,HS,XC
Ellensburg Invitational,https://wa.milesplit.com/meets/214276-ellensburg-invitational-2015/results,2015,9,WA,HS,XC
Highlander Invitational,https://wa.milesplit.com/meets/214277-highlander-invitational-2015/results,2015,9,WA,HS,XC
Moses Lake Invitational,https://wa.milesplit.com/meets/214278-moses-lake-invitational-2015/results,2015,9,WA,HS,XC
Ocosta Invitational,https://wa.milesplit.com/meets/214279-ocosta-invitational-2015/results,2015,9,WA,HS,XC
Saxon Invite,https://or.milesplit.com/meets/216494-saxon-invite-2015/results,2015,9,WA,HS,XC
Sehome Invitational,https://wa.milesplit.com/meets/214280-sehome-invitational-2015/results,2015,9,WA,HS,XC
