race_id,url,table_index,table_type,row_count,assigned_parser,detector_score
,https://wa.milesplit.com/meets/285916-franklinhalelakeclev-2017/results,1,individual,108,katie_fallback,0.9
,https://wa.milesplit.com/meets/285916-franklinhalelakeclev-2017/results,2,team,4,katie_fallback,0.9
,https://wa.milesplit.com/meets/285916-franklinhalelakeclev-2017/results,3,individual,95,katie_fallback,0.9
,https://wa.milesplit.com/meets/285916-franklinhalelakeclev-2017/results,4,team,4,katie_fallback,0.9
,https://wa.milesplit.com/meets/333205-seatac-1b2b-league-championship-2018/results,1,individual,33,katie_fallback,0.9
,https://wa.milesplit.com/meets/333205-seatac-1b2b-league-championship-2018/results,2,team,4,katie_fallback,0.9
,https://wa.milesplit.com/meets/333205-seatac-1b2b-league-championship-2018/results,3,individual,11,katie_fallback,0.9
,https://wa.milesplit.com/meets/333205-seatac-1b2b-league-championship-2018/results,4,team,1,katie_fallback,0.9
,https://wa.milesplit.com/meets/333205-seatac-1b2b-league-championship-2018/results,5,individual,20,katie_fallback,0.9
,https://wa.milesplit.com/meets/333205-seatac-1b2b-league-championship-2018/results,6,team,1,katie_fallback,0.9
,https://wa.milesplit.com/meets/333205-seatac-1b2b-league-championship-2018/results,7,individual,1,katie_fallback,0.9
,https://www.milesplit.com/meets/219260-bonney-lake-peninsula-auburn-riverside-2015/results,,no_tables,0,katie_fallback,0.0
,https://wa.milesplit.com/meets/246545-richland-invitational-2016/results,,no_tables,0,katie_fallback,0.0
,https://wa.milesplit.com/meets/253000-kentwood-mount-rainier-hazen-2016/results,,no_tables,0,katie_fallback,0.0
,https://wa.milesplit.com/meets/373118-gsl-4-at-shadle-2019/results,1,individual,67,katie_fallback,0.9
,https://wa.milesplit.com/meets/373118-gsl-4-at-shadle-2019/results,2,team,3,katie_fallback,0.9
,https://wa.milesplit.com/meets/373118-gsl-4-at-shadle-2019/results,3,individual,20,katie_fallback,0.9
,https://wa.milesplit.com/meets/373118-gsl-4-at-shadle-2019/results,4,team,3,katie_fallback,0.9
,https://wa.milesplit.com/meets/373118-gsl-4-at-shadle-2019/results,5,individual,1,katie_fallback,0.9
,https://wa.milesplit.com/meets/373118-gsl-4-at-shadle-2019/results,6,individual,31,katie_fallback,0.9
,https://wa.milesplit.com/meets/373118-gsl-4-at-shadle-2019/results,7,team,2,katie_fallback,0.9
